latitude,longitude,altitude
40.41487293,-79.94897317,158.743
40.41495133,-79.94886850,152.865
40.41500599,-79.94880641,149.181
40.41479073,-79.94906099,165.244
40.41473218,-79.94909246,170.017
40.41470516,-79.94908037,172.979
40.41466645,-79.94905720,177.064
40.41465071,-79.94904883,179.489
40.41459998,-79.94902261,184.184
40.41454193,-79.94899810,189.182
40.41444091,-79.94896153,197.652
40.41437375,-79.94893828,203.082
40.41432000,-79.94892200,206.832
40.41422305,-79.94883473,214.002
40.41420468,-79.94876599,214.203
40.41418595,-79.94870119,212.345
40.41398619,-79.94859584,195.150
40.41396716,-79.94858691,195.114
40.41393992,-79.94857220,195.439
40.41389211,-79.94854856,198.706
40.41387181,-79.94853811,200.169
40.41375453,-79.94847073,214.168
40.41371186,-79.94845498,219.676
40.41368915,-79.94845179,222.641
40.41364876,-79.94844289,227.565
40.41362911,-79.94843671,229.755
40.41356324,-79.94841473,238.499
40.41350469,-79.94839436,245.446
40.41347829,-79.94838416,248.574
40.41343924,-79.94837000,252.895
40.41340524,-79.94835791,256.396
40.41334713,-79.94833536,261.779
40.41331631,-79.94832231,264.512
40.41323428,-79.94829443,271.890
40.41305591,-79.94823415,286.622
40.41302966,-79.94822495,289.587
40.41300221,-79.94821764,291.584
40.41297209,-79.94821331,293.892
40.41294745,-79.94820313,296.193
40.41290371,-79.94814519,300.833
40.41286914,-79.94803413,306.576
40.41284190,-79.94794855,310.019
40.41282903,-79.94789778,312.213
40.41280219,-79.94781912,314.849
40.41278719,-79.94777697,316.516
40.41267714,-79.94745100,331.270
40.41265232,-79.94737922,334.016
40.41430078,-79.94891422,208.894
40.41249127,-79.94701999,360.944
40.41249059,-79.94701983,360.713
40.41251667,-79.94705564,357.012
40.41255282,-79.94710797,351.130
40.41257570,-79.94714862,347.689
40.41268227,-79.94745968,330.812
40.41271186,-79.94754366,326.500
40.41418491,-79.94870076,212.303
40.41281994,-79.94787241,313.219
40.41284540,-79.94795690,309.597
40.41286356,-79.94801733,307.037
40.41287991,-79.94808264,304.213
40.41291637,-79.94817133,299.728
40.41302669,-79.94822411,289.359
40.41308951,-79.94824396,283.729
40.41313620,-79.94826016,279.417
40.41328983,-79.94831295,267.341
40.41335182,-79.94833689,261.428
40.41343125,-79.94836789,254.106
40.41346256,-79.94837910,250.111
40.41356057,-79.94841475,238.996
40.41357844,-79.94842026,236.444
40.41360459,-79.94842906,232.806
40.41397247,-79.94858907,195.162
40.41366272,-79.94844579,225.230
40.41369168,-79.94845212,222.167
40.41371693,-79.94845666,218.932
40.41395182,-79.94857887,195.323
40.41378428,-79.94848731,210.156
40.41381126,-79.94850532,206.810
40.41383469,-79.94852022,204.051
40.41387120,-79.94853783,200.384
40.41389138,-79.94854821,198.673
40.41392446,-79.94856534,196.295
40.41396346,-79.94858509,195.133
40.41401085,-79.94860778,195.899
40.41389302,-79.94854878,198.567
40.41407290,-79.94863062,200.349
40.41388075,-79.94854249,199.523
40.41386818,-79.94853657,200.864
40.41415291,-79.94865341,209.061
40.41386019,-79.94853266,201.265
40.41420110,-79.94875606,214.380
40.41422328,-79.94883471,213.953
40.41426001,-79.94889865,212.217
40.41430418,-79.94891514,207.995
40.41434478,-79.94892999,204.808
40.41439269,-79.94894455,201.288
40.41444774,-79.94896347,197.434
40.41380035,-79.94849754,208.322
40.41377315,-79.94848041,211.604
40.41376945,-79.94847859,212.244
40.41376037,-79.94847315,213.426
40.41373340,-79.94846163,216.887
40.41372658,-79.94845829,217.810
40.41371948,-79.94845751,218.557
40.41371112,-79.94845564,219.449
40.41370854,-79.94845492,220.121
40.41369978,-79.94845380,220.918
40.41369148,-79.94845207,222.389
40.41368918,-79.94845204,222.662
40.41367909,-79.94844904,223.750
40.41367193,-79.94844873,224.361
40.41366607,-79.94844670,225.365
40.41366049,-79.94844615,226.258
40.41365259,-79.94844393,227.068
40.41364809,-79.94844265,227.719
40.41364015,-79.94843948,228.530
40.41363200,-79.94843753,229.753
40.41362972,-79.94843696,230.046
40.41362162,-79.94843496,231.036
40.41361442,-79.94843197,232.359
40.41361072,-79.94843098,232.340
40.41360223,-79.94842856,233.263
40.41359447,-79.94842651,234.315
40.41359101,-79.94842554,234.667
40.41358321,-79.94842306,235.586
40.41357436,-79.94841853,237.038
40.41357109,-79.94841787,237.688
40.41356352,-79.94841522,238.445
40.41355766,-79.94841393,239.440
40.41355233,-79.94841181,239.844
40.41354367,-79.94840855,240.583
40.41353692,-79.94840611,241.876
40.41353262,-79.94840356,242.355
40.41352325,-79.94840021,243.082
40.41351821,-79.94839882,243.956
40.41351290,-79.94839724,244.494
40.41350499,-79.94839335,245.631
40.41349855,-79.94839159,246.568
40.41349462,-79.94839025,246.755
40.41348731,-79.94838799,247.584
